Section,Category,Item,Details,Value/Notes
Key Partners,Real Estate Developers,Appolonia City,"13 properties | +233 302 967150 | The Oxford, Mews, Industrial | $83K-$650K",Strategic partnership - largest
Key Partners,Real Estate Developers,Devtraco Group,"2 properties | +233 540 10 7476 | Woodlands Orchid (80x70 $34K) & Jute (70x40 $17.5K) | 592-acre gated city Dawhenya",Strategic partnership
Key Partners,Real Estate Developers,BestWorld Company/Kharis Properties,"3 properties | Quality residential developments",Strategic partnership
Key Partners,Real Estate Developers,Future developers,Oxford Estate and other premium developers,Pipeline
Key Partners,Service Providers,Payment processors,Stripe for international transactions,Infrastructure
Key Partners,Service Providers,Cloud hosting,Vercel for hosting,Infrastructure
Key Partners,Service Providers,Database provider,Supabase for data storage,Infrastructure
Key Partners,Marketing,Digital marketing agencies,SEO and social media partners,Growth
Key Partners,Marketing,Property photographers,Professional imagery services,Content
Key Partners,Legal,Legal advisors,Property law and compliance,Compliance
Key Partners,Legal,Real estate agents,Individual agents and agencies,Distribution

Key Activities,Platform Operations,Property listing management,Add/update/manage property listings,Daily
Key Activities,Platform Operations,Database maintenance,Ensure data integrity and performance,Weekly
Key Activities,Platform Operations,Site monitoring,Performance and uptime monitoring,Daily
Key Activities,Customer Acquisition,SEO optimization,Improve search rankings for Ghana property keywords,Weekly
Key Activities,Customer Acquisition,Content marketing,Blog posts and property guides,Weekly
Key Activities,Customer Acquisition,Social media marketing,TikTok (@dwellot.ghana) and other platforms,Daily
Key Activities,Customer Acquisition,Paid advertising,Google Ads for high-intent keywords,Monthly
Key Activities,Partnership Management,Developer relationships,Maintain partnerships with property developers,Monthly
Key Activities,Partnership Management,Agent onboarding,Recruit and onboard new real estate agents,Monthly
Key Activities,Quality Assurance,Property verification,Verify property details and legitimacy,Per listing
Key Activities,Quality Assurance,Customer support,Respond to inquiries and support requests,Daily
Key Activities,Product Development,Feature development,Build new platform features,Monthly
Key Activities,Product Development,User experience optimization,Improve site usability and conversion,Ongoing

Key Resources,Technology,Website platform,"Next.js 16, React, TypeScript",Core asset
Key Resources,Technology,Database,Supabase PostgreSQL with RLS,Core asset
Key Resources,Technology,Domain,www.dwellot.com,Brand asset
Key Resources,Technology,Hosting,Vercel infrastructure,Infrastructure
Key Resources,Human Capital,Development team,Part-time developer ($250-500/month),Team
Key Resources,Human Capital,Content creator,Blog and social media content,Team
Key Resources,Human Capital,Customer support,Inquiry response and lead management,Team
Key Resources,Content,Property listings,"Currently 18 properties: Appolonia City (13), BestWorld/Kharis (3), Devtraco Group (2)",Inventory
Key Resources,Content,Property images,High-quality professional images,Content
Key Resources,Content,Blog content,SEO-optimized articles and guides,Content
Key Resources,Brand,Brand identity,Logo and visual identity,Brand asset
Key Resources,Brand,Social media presence,TikTok @dwellot.ghana,Distribution
Key Resources,Data,User database,Registered users and saved searches,Data asset
Key Resources,Data,Analytics,User behavior and conversion data,Intelligence

Value Propositions,For Property Buyers/Renters,Verified listings,Curated properties from reputable developers,Trust
Value Propositions,For Property Buyers/Renters,Premium selection,"Focus on quality properties (Appolonia, Devtraco, East Legon)",Quality
Value Propositions,For Property Buyers/Renters,USD pricing transparency,Clear pricing in dollars for diaspora buyers,Convenience
Value Propositions,For Property Buyers/Renters,Comprehensive information,"Detailed specs, images, amenities, payment plans",Information
Value Propositions,For Property Buyers/Renters,Modern user experience,Fast responsive website with search and filters,UX
Value Propositions,For Property Buyers/Renters,Direct developer access,Connect directly with property developers,Efficiency
Value Propositions,For Property Buyers/Renters,Investment guidance,Blog content on buying property in Ghana,Education
Value Propositions,For Property Developers/Agents,Premium exposure,Reach qualified buyers and diaspora market,Visibility
Value Propositions,For Property Developers/Agents,Digital marketing,Modern platform vs traditional methods,Marketing
Value Propositions,For Property Developers/Agents,Lead generation,Qualified inquiries from serious buyers,Leads
Value Propositions,For Property Developers/Agents,Professional presentation,High-quality property showcases,Branding
Value Propositions,For Property Developers/Agents,Analytics,Track views and engagement,Data
Value Propositions,For Property Developers/Agents,Low cost,Affordable compared to traditional advertising,Cost efficiency

Customer Relationships,Buyers/Renters,Self-service platform,Browse and search independently,Automated
Customer Relationships,Buyers/Renters,Inquiry system,Submit inquiries for specific properties,Transactional
Customer Relationships,Buyers/Renters,Email communication,Property updates and newsletters,Automated
Customer Relationships,Buyers/Renters,Phone support,Direct contact via +233 540 10 7476,Personal
Customer Relationships,Buyers/Renters,WhatsApp support,Quick responses to questions,Personal
Customer Relationships,Buyers/Renters,Social media engagement,TikTok content and DMs,Community
Customer Relationships,Developers/Agents,Account management,Dedicated support for partners,Personal
Customer Relationships,Developers/Agents,Performance reports,Monthly analytics and insights,Automated
Customer Relationships,Developers/Agents,Co-marketing,Joint promotional activities,Partnership

Channels,Digital,Website,www.dwellot.com - primary platform,Direct owned
Channels,Digital,Mobile web,Responsive design for mobile users,Direct owned
Channels,Social Media,TikTok,@dwellot.ghana - property videos and tours,Owned
Channels,Social Media,Facebook,Property listings and community (planned),Partner
Channels,Social Media,Instagram,Visual property content (planned),Partner
Channels,Search,Google Search,SEO-optimized for Ghana property keywords,Partner
Channels,Search,Google Ads,Paid search advertising (planned),Partner
Channels,Traditional,Word of mouth,Referrals from satisfied customers,Indirect
Channels,Traditional,Developer partnerships,Co-marketing with Appolonia Devtraco Kharis,Partner
Channels,Traditional,Real estate agents,Agent network distribution,Partner

Customer Segments,Primary,Ghanaian Diaspora,"Living abroad, buying property back home",High value
Customer Segments,Primary,Expatriates,Foreign nationals living/moving to Ghana,High value
Customer Segments,Primary,Local professionals,"High earners in Accra, Kumasi",Medium-high value
Customer Segments,Primary,Property investors,Buying for rental income or appreciation,High value
Customer Segments,Secondary,First-time homebuyers,Young professionals entering market,Medium value
Customer Segments,Secondary,Upgraders,Moving from rental to ownership,Medium value
Customer Segments,Secondary,Land buyers,Purchasing plots for future development,Medium value
Customer Segments,Tertiary,Renters,Looking for quality rental properties,Lower value
Customer Segments,B2B,Property developers,Need marketing and sales channels,Partnership
Customer Segments,B2B,Real estate agents,Seeking digital presence,Partnership

Cost Structure,Fixed Costs,Hosting,Vercel hosting and infrastructure,$50-100/month
Cost Structure,Fixed Costs,Database,Supabase PostgreSQL hosting,$0-50/month
